x,y
"[0.00029355 0.00027799 0.         0.         0.         0.
 0.         0.         0.         0.         0.00134035 0.
 0.         0.         0.         0.00132831 0.         0.00267336
 0.00080315 0.         0.         0.         0.00032349 0.00061616
 0.00058563 0.         0.         0.00121353 0.        ]",0.00026155287257560885
"[0.00027799 0.         0.         0.         0.         0.
 0.         0.         0.         0.00134035 0.         0.
 0.         0.         0.00132831 0.         0.00267336 0.00080315
 0.         0.         0.         0.00032349 0.00061616 0.00058563
 0.         0.         0.00121353 0.         0.00026155]",0.0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.00134035 0.         0.         0.
 0.         0.00132831 0.         0.00267336 0.00080315 0.
 0.         0.         0.00032349 0.00061616 0.00058563 0.
 0.         0.00121353 0.         0.00026155 0.        ]",0.00030176919529486634
"[0.         0.         0.         0.         0.         0.
 0.         0.00134035 0.         0.         0.         0.
 0.00132831 0.         0.00267336 0.00080315 0.         0.
 0.         0.00032349 0.00061616 0.00058563 0.         0.
 0.00121353 0.         0.00026155 0.         0.00030177]",0.05995519842939114
"[0.         0.         0.         0.         0.         0.
 0.00134035 0.         0.         0.         0.         0.00132831
 0.         0.00267336 0.00080315 0.         0.         0.
 0.00032349 0.00061616 0.00058563 0.         0.         0.00121353
 0.         0.00026155 0.         0.00030177 0.0599552 ]",0.0
"[0.         0.         0.         0.         0.         0.00134035
 0.         0.         0.         0.         0.00132831 0.
 0.00267336 0.00080315 0.         0.         0.         0.00032349
 0.00061616 0.00058563 0.         0.         0.00121353 0.
 0.00026155 0.         0.00030177 0.0599552  0.        ]",0.0002668367689912777
"[0.         0.         0.         0.         0.00134035 0.
 0.         0.         0.         0.00132831 0.         0.00267336
 0.00080315 0.         0.         0.         0.00032349 0.00061616
 0.00058563 0.         0.         0.00121353 0.         0.00026155
 0.         0.00030177 0.0599552  0.         0.00026684]",0.0016523918291000026
"[0.         0.         0.         0.00134035 0.         0.
 0.         0.         0.00132831 0.         0.00267336 0.00080315
 0.         0.         0.         0.00032349 0.00061616 0.00058563
 0.         0.         0.00121353 0.         0.00026155 0.
 0.00030177 0.0599552  0.         0.00026684 0.00165239]",0.018346862554405784
"[0.         0.         0.00134035 0.         0.         0.
 0.         0.00132831 0.         0.00267336 0.00080315 0.
 0.         0.         0.00032349 0.00061616 0.00058563 0.
 0.         0.00121353 0.         0.00026155 0.         0.00030177
 0.0599552  0.         0.00026684 0.00165239 0.01834686]",0.00031263053792707457
"[0.         0.00134035 0.         0.         0.         0.
 0.00132831 0.         0.00267336 0.00080315 0.         0.
 0.         0.00032349 0.00061616 0.00058563 0.         0.
 0.00121353 0.         0.00026155 0.         0.00030177 0.0599552
 0.         0.00026684 0.00165239 0.01834686 0.00031263]",0.0
